business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Miami-Dade County Public Schools;83;;Elementary Schools,Middle Schools & High Schools;0;711 NW 30th Ave Miami, FL 33125;25.7815006;-80.2431354;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-174
Lincoln-Marti School;84;;Child Care & Day Care,Middle Schools & High Schools,Elementary Schools;0;904 SW 23rd Ave Miami, FL 33135;25.7643477;-80.2333079;0;https://www.yelp.com/biz/lincoln-marti-school-miami-3
La Progresiva Presbyterian School;85;;Elementary Schools,Middle Schools & High Schools;0;2480 NW 7th St Miami, FL 33125;25.779283;-80.236475;0;https://www.yelp.com/biz/la-progresiva-presbyterian-school-miami
Miami-Dade County Public Schools;86;;Elementary Schools,Middle Schools & High Schools;0;2201 SW 4th St Miami, FL 33135;25.7689977;-80.2311678;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-216
Saint Peter & Paul Catholic School;87;1;Elementary Schools,Middle Schools & High Schools;5.0;1435 SW 12th Ave Miami, FL 33129;25.7600437;-80.2136991;0;https://www.yelp.com/biz/saint-peter-and-paul-catholic-school-miami
Miami-Dade County Public Schools;88;;Elementary Schools,Middle Schools & High Schools;0;1225 SW 97th Ave Miami, FL 33174;25.757389;-80.350792;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-3
Miami-Dade County Public Schools;89;;Elementary Schools,Middle Schools & High Schools;0;505 NW 20th Ave Miami, FL 33125;25.77815;-80.2280126;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-121
Miami-Dade County Public Schools;90;;Elementary Schools,Middle Schools & High Schools;0;14850 Cottonwood Cir Miami, FL 33185;25.7158571;-80.4347284;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-42
Miami-Dade County Public Schools;91;;Elementary Schools,Middle Schools & High Schools;0;9250 SW 52nd Ter Miami, FL 33165;25.7186092;-80.3443202;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-214
Jose de Diego Middle School;92;1;Middle Schools & High Schools;3.0;3100 NW 5th Ave Miami, FL 33127;25.8057917;-80.2036271;0;https://www.yelp.com/biz/jose-de-diego-middle-school-miami
Beth Am After School Program;93;;Elementary Schools,Middle Schools & High Schools,Preschools;0;5950 SW 88th St Miami, FL 33156;25.6894162;-80.2901208;0;https://www.yelp.com/biz/beth-am-after-school-program-miami
Miami-Dade County Public Schools;94;;Elementary Schools,Middle Schools & High Schools;0;2755 NW 122nd St Miami, FL 33167;25.8860182;-80.2437793;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-129
Martin Frank C Elementary School;95;;Elementary Schools,Middle Schools & High Schools;0;14250 Boggs Dr Miami, FL 33176;25.637525;-80.375729;0;https://www.yelp.com/biz/martin-frank-c-elementary-school-miami
Pinecrest Preparatory Middle High;96;;Middle Schools & High Schools;0;14901 SW 42nd St Miami, FL 33185;25.7287574;-80.4359376;0;https://www.yelp.com/biz/pinecrest-preparatory-middle-high-miami
Miami-Dade County Public Schools;97;;Elementary Schools,Middle Schools & High Schools;0;3050 NW 35th St Miami, FL 33142;25.8075401;-80.2453173;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-134
Miami-Dade County Public Schools;98;;Elementary Schools,Middle Schools & High Schools;0;840 NE 87th St Miami, FL 33138;25.8553395;-80.1803879;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-12
Miami-Dade County Public Schools;99;;Elementary Schools,Middle Schools & High Schools;0;5901 SW 16th St Miami, FL 33155;25.756957;-80.292653;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-99
Saint John Bosco School;100;;Elementary Schools,Middle Schools & High Schools;0;1301 W Flagler St Miami, FL 33135;25.7734825;-80.216357;0;https://www.yelp.com/biz/saint-john-bosco-school-miami
Miami-Dade County Public Schools;101;;Elementary Schools,Middle Schools & High Schools;0;12525 NW 28th Ave Miami, FL 33167;25.8890685;-80.2444731;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-201
Miami-Dade County Public Schools;102;;Elementary Schools,Middle Schools & High Schools;0;1190 SW 2nd St Miami, FL 33130;25.7710881;-80.2135382;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-153
Our Lady of Lourdes Catholic Elementary School;103;;Elementary Schools,Middle Schools & High Schools;0;14000 SW 112th St Miami, FL 33186;25.662324;-80.422535;0;https://www.yelp.com/biz/our-lady-of-lourdes-catholic-elementary-school-miami
