business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Enrichment Center;119;;Child Care & Day Care,Preschools,Elementary Schools;0;8001 Oak Ln Miami, FL 33125;25.6776366;-80.2830084;0;https://www.yelp.com/biz/enrichment-center-miami
Miami-Dade County Public Schools;120;;Elementary Schools,Middle Schools & High Schools;0;1051 NW 29th Ter Miami, FL 33127;25.804642;-80.2124539;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-46
Miami-Dade County Public Schools;121;;Elementary Schools,Middle Schools & High Schools;0;3050 NW 35th St Miami, FL 33142;25.8075401;-80.2453173;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-134
Miami-Dade County Public Schools;122;;Elementary Schools,Middle Schools & High Schools;0;6601 SW 152nd Ave Miami, FL 33193;25.7040966;-80.4414604;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-228
Caring For Kids;123;;Child Care & Day Care,Preschools,Elementary Schools;0;8301 NW 53rd St Miami, FL 33166;25.822086;-80.331152;0;https://www.yelp.com/biz/caring-for-kids-miami
Miami-Dade County Public Schools;124;;Elementary Schools,Middle Schools & High Schools;0;1037 NW 81st St Miami, FL 33150;25.849668;-80.214252;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-133
Pinecrest Prep Charter School;125;;Elementary Schools,Middle Schools & High Schools;0;15130 SW 80th St Miami, FL 33193;25.6910722;-80.4371107;0;https://www.yelp.com/biz/pinecrest-prep-charter-school-miami
St James Catholic Church;126;;Elementary Schools,Preschools;0;601 NW 131st Ave Miami, FL 33182;25.773338;-80.407769;0;https://www.yelp.com/biz/st-james-catholic-church-miami
Greenfield Day School;127;;Elementary Schools,Middle Schools & High Schools;0;11155 SW 112th Ave Miami, FL 33176;25.666136;-80.3733477;0;https://www.yelp.com/biz/greenfield-day-school-miami
Miami-Dade County Public Schools;128;;Elementary Schools,Middle Schools & High Schools;0;5400 SW 112th Ct Miami, FL 33165;25.7165749;-80.3766085;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-105
Miami-Dade County Public Schools;129;;Elementary Schools,Middle Schools & High Schools;0;5901 SW 16th St Miami, FL 33155;25.756957;-80.292653;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-99
Miami-Dade County Public Schools;130;;Elementary Schools,Middle Schools & High Schools;0;8400 NW 7th St Miami, FL 33126;25.775257;-80.332865;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-10
Miami-Dade County Public Schools;131;;Elementary Schools,Middle Schools & High Schools;0;5901 NW 27th Ave Miami, FL 33142;25.8293978;-80.2399653;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-168
Miami-Dade County Public Schools;132;;Elementary Schools,Middle Schools & High Schools;0;10343 SW 124th St Miami, FL 33176;25.655119;-80.362106;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-215
Doral Prekindergarten School;133;;Child Care & Day Care,Middle Schools & High Schools,Elementary Schools;0;2450 NW 97th St Miami, FL 33147;25.8630178;-80.239316;0;https://www.yelp.com/biz/doral-prekindergarten-school-miami
St John the Apostle Catholic School;134;1;Elementary Schools,Middle Schools & High Schools;5.0;479 E 4th St Hialeah, FL 33010;25.826215;-80.2714079;0;https://www.yelp.com/biz/st-john-the-apostle-catholic-school-hialeah
Shining Light Childcare Development Center;135;;Child Care & Day Care,Preschools,Elementary Schools;0;8390 NW 14th Ave Miami, FL 33147;25.8516422;-80.2215196;0;https://www.yelp.com/biz/shining-light-childcare-development-center-miami
Miami-Dade County Public Schools;136;;Elementary Schools,Middle Schools & High Schools;0;6300 NW 27th Ave Miami, FL 33147;25.8326664;-80.2421849;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-116
Miami-Dade County Public Schools;137;;Elementary Schools,Middle Schools & High Schools;0;1331 NW 46th St Miami, FL 33142;25.8176448;-80.2185119;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-77
Rainbow Land Music & Arts Academy;138;;Elementary Schools,Preschools;0;7355 Coral Way Miami, FL 33155;25.748731;-80.314448;0;https://www.yelp.com/biz/rainbow-land-music-and-arts-academy-miami
Miami-Dade County Public Schools;139;;Elementary Schools,Middle Schools & High Schools;0;1781 NW 95th St Miami, FL 33147;25.8634081;-80.2283014;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-74
Miami-Dade County Public Schools;140;;Elementary Schools,Middle Schools & High Schools;0;4700 NW 12th Ave Miami, FL 33127;25.8183125;-80.2177508;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-232
Miami-Dade County Public Schools;141;;Elementary Schools,Middle Schools & High Schools;0;2755 NW 122nd St Miami, FL 33167;25.8860182;-80.2437793;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-129
L’Atelier School;142;;Elementary Schools,Preschools;0;5960 SW 71st St South Miami, FL 33143;25.70502;-80.290987;0;https://www.yelp.com/biz/l-atelier-school-south-miami
Miami-Dade County Public Schools;143;;Elementary Schools,Middle Schools & High Schools;0;1950 SW 19th St Miami, FL 33145;25.753671;-80.227193;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-203
South Pointe Elementary;144;3;Elementary Schools;3.5;1050 4th St Miami Beach, FL 33139;25.7728719419987;-80.1390905642794;0;https://www.yelp.com/biz/south-pointe-elementary-miami-beach
Pinewood Acres School;145;;Elementary Schools,Middle Schools & High Schools,Preschools;0;9500 SW 97th Ave Miami, FL 33176;25.680669;-80.352327;0;https://www.yelp.com/biz/pinewood-acres-school-miami
Miami-Dade County Public Schools;146;;Elementary Schools,Middle Schools & High Schools;0;2225 NW 103rd St Miami, FL 33147;25.869507;-80.235658;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-63
Day Care For Super Kids;147;;Child Care & Day Care,Preschools,Elementary Schools;0;5202 W Flagler St Coral Gables, FL 33134;25.7709249;-80.280153;0;https://www.yelp.com/biz/day-care-for-super-kids-coral-gables
New Generation Preschools;148;;Child Care & Day Care,Preschools,Elementary Schools;0;5202 W Flagler St Coral Gables, FL 33134;25.7709249;-80.280153;0;https://www.yelp.com/biz/new-generation-preschools-coral-gables
Devon Aire K-8 Center;149;1;Elementary Schools,Middle Schools & High Schools;5.0;10501 SW 122nd Ave Miami, FL 33186;25.6690764;-80.3903127;0;https://www.yelp.com/biz/devon-aire-k-8-center-miami
VIKids Academy Preschool;150;;Preschools,Elementary Schools;0;13911 SW 42nd St Miami, FL 33175;25.729529;-80.420212;0;https://www.yelp.com/biz/vikids-academy-preschool-miami
Miami-Dade County Public Schools;151;;Elementary Schools,Middle Schools & High Schools;0;3601 SW 147th Ave Miami, FL 33185;25.7349292;-80.4299889;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-206
Charles Drew Middle School;152;;Elementary Schools,Middle Schools & High Schools;0;1801 NW 60th St Miami, FL 33142;25.8303507;-80.2275057;0;https://www.yelp.com/biz/charles-drew-middle-school-miami
Doral Academy Middle School;153;;Elementary Schools,Middle Schools & High Schools;0;2601 NW 112th St Miami, FL 33167;25.876661;-80.241866;0;https://www.yelp.com/biz/doral-academy-middle-school-miami
Miami-Dade County Public Schools;154;;Elementary Schools,Middle Schools & High Schools;0;10990 SW 113th Pl Miami, FL 33176;25.6674909;-80.3802671;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-59
Martin Frank C Elementary School;155;;Elementary Schools,Middle Schools & High Schools;0;14250 Boggs Dr Miami, FL 33176;25.637525;-80.375729;0;https://www.yelp.com/biz/martin-frank-c-elementary-school-miami
Coral Gables First United Methodist Church;156;;Elementary Schools,Preschools;0;536 Coral Way Coral Gables, FL 33134;25.7490401;-80.2655358;0;https://www.yelp.com/biz/coral-gables-first-united-methodist-church-coral-gables
Bilingual Cooperative Preschool;157;;Elementary Schools,Preschools;0;1205 Sunset Dr Miami, FL 33143;25.7048145;-80.2772666;0;https://www.yelp.com/biz/bilingual-cooperative-preschool-miami
Miami-Dade County Public Schools;158;;Elementary Schools,Middle Schools & High Schools;0;1775 NW 60th St Miami, FL 33142;25.8303829;-80.2263293;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-79
St Philip’s Episcopal School;159;;Elementary Schools,Preschools;0;1142 Coral Way Coral Gables, FL 33134;25.7487035;-80.2780599;0;https://www.yelp.com/biz/st-philips-episcopal-school-coral-gables
Southside Elementary School;160;2;Elementary Schools;1.5;45 SW 13th St Miami, FL 33130;25.7614884500748;-80.1955886431264;0;https://www.yelp.com/biz/southside-elementary-school-miami
Miami-Dade County Public Schools;161;;Elementary Schools,Middle Schools & High Schools;0;12265 SW 34th St Miami, FL 33175;25.737642;-80.393214;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-191
Arrowhead Kindergarten & Daycare Center;162;2;Child Care & Day Care,Preschools,Elementary Schools;3.0;1210 SW 78th Ct Miami, FL 33144;25.758458;-80.322501;0;https://www.yelp.com/biz/arrowhead-kindergarten-and-daycare-center-miami
Saint Peter & Paul Catholic School;163;1;Elementary Schools,Middle Schools & High Schools;5.0;1435 SW 12th Ave Miami, FL 33129;25.7600437;-80.2136991;0;https://www.yelp.com/biz/saint-peter-and-paul-catholic-school-miami
Angels Learning Elementary;164;;Elementary Schools,Behavior Analysts,Summer Camps;0;9270 Hammocks Blvd Miami, FL 33196;25.6798760074271;-80.435989728836;0;https://www.yelp.com/biz/angels-learning-elementary-miami-3
Miami-Dade County Public Schools;165;;Elementary Schools,Middle Schools & High Schools;0;9580 W Calusa Club Dr Miami, FL 33186;25.6790856;-80.4124804;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-193
Coral Villa Christian Academy;166;;Child Care & Day Care,Preschools,Elementary Schools;0;3201 SW 67th Ave Miami, FL 33155;25.74011;-80.3021408;0;https://www.yelp.com/biz/coral-villa-christian-academy-miami
St. Kevin’s Catholic School;167;5;Religious Schools,Elementary Schools;2.5;4001 SW 127th Ave Miami, FL 33175;25.7315748611261;-80.3990542888641;0;https://www.yelp.com/biz/st-kevins-catholic-school-miami
Sunflower Academy;168;;Elementary Schools;0;635 SW 29th Ave Miami, FL 33135;25.7663218;-80.2407564;0;https://www.yelp.com/biz/sunflower-academy-miami
Miami-Dade County Public Schools;169;;Elementary Schools,Middle Schools & High Schools;0;12345 SW 18th Ter Miami, FL 33175;25.7518426;-80.3959292;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-212
Mc Glannan School;170;;Elementary Schools;0;10770 SW 84th St Miami, FL 33173;25.690144;-80.366664;0;https://www.yelp.com/biz/mc-glannan-school-miami
