business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
DWNTWN Miami Concert Series;60;6;Festivals,Music Venues;5.0;301 N Biscayne Blvd Miami, FL 33131;25.765925;-80.191087;1;https://www.yelp.com/biz/dwntwn-miami-concert-series-miami
Brasas y Vinos Restaurante;61;6;Peruvian,Argentine,Wine Bars;4.0;235 Park Blvd Miami, FL 33126;25.7726453;-80.3264641;2;https://www.yelp.com/biz/brasas-y-vinos-restaurante-miami
W XYZ Bar;62;15;Lounges,Cocktail Bars;4.0;3265 NW 107th Ave Doral, FL 33172;25.8035293926083;-80.3686591610312;2;https://www.yelp.com/biz/w-xyz-bar-doral
New World Events LLC;63;54;Party & Event Planning,Dance Clubs;5.0;1340 Lincoln Rd Miami Beach, FL 33139;25.790085;-80.143261;2;https://www.yelp.com/biz/new-world-events-llc-miami-beach
Club Bailo;64;7;Dance Clubs,Gay Bars,Music Venues;3.0;7020 NW 72nd Ave Miami, FL 33166;25.8377874;-80.314703;2;https://www.yelp.com/biz/club-bailo-miami
La Shangrila Karaoke;65;58;Karaoke,Bars;4.0;10720 W Flagler St Miami, FL 33174;25.7671333;-80.369692;2;https://www.yelp.com/biz/la-shangrila-karaoke-miami-4
Hookah Village;66;25;Hookah Bars;4.5;9457 SW 56th St Miami, FL 33165;25.7167813867073;-80.3474202811713;2;https://www.yelp.com/biz/hookah-village-miami
La Gitana;67;2;Sports Bars;5.0;5 SW 55th Ave Rd Coral Gables, FL 33134;25.7707644;-80.2843293;1;https://www.yelp.com/biz/la-gitana-coral-gables-2
Hookah Palace;68;4;Hookah Bars;5.0;11865 SW 26th St Miami, FL 33175;25.7478589;-80.3883374;1;https://www.yelp.com/biz/hookah-palace-miami
Casa De Montecristo by Prime Cigar & Whiskey Bar;69;34;Tobacco Shops,Whiskey Bars,Cocktail Bars;5.0;1106 S Miami Ave Miami, FL 33130;25.763224;-80.193432;3;https://www.yelp.com/biz/casa-de-montecristo-by-prime-cigar-and-whiskey-bar-miami
LaBare Miami;70;9;Adult Entertainment;4.0;5325 NW 77th Ave Miami, FL 33166;25.8220126178137;-80.3208713796928;2;https://www.yelp.com/biz/labare-miami-miami
Labios Bar;71;1;Dive Bars;5.0;1042 W Flagler St Miami, FL 33130;25.7735831;-80.2122888;1;https://www.yelp.com/biz/labios-bar-miami
Key Hole;72;3;Bars,Music Venues;4.5;200 Crandon Blvd Key Biscayne, FL 33149;25.697655;-80.163677;2;https://www.yelp.com/biz/key-hole-key-biscayne-2
Astor Social Club;73;15;Dance Clubs,Lounges;4.5;956 Washington Ave Miami Beach, FL 33139;25.7805366;-80.1332795;3;https://www.yelp.com/biz/astor-social-club-miami-beach
Spazio Nightclub;74;17;Dance Clubs,Lounges;2.5;1421 S Miami Ave Miami, FL 33130;25.7602404;-80.1936043;3;https://www.yelp.com/biz/spazio-nightclub-miami
Blue Martini Lounge;75;146;Lounges,American (New);3.0;8405 Mills Dr Miami, FL 33183;25.6892664;-80.3861056;2;https://www.yelp.com/biz/blue-martini-lounge-miami-2
Kara-O-King DJ and Karaoke Entertainment;76;3;Karaoke,DJs;5.0;26521 SW 128th Ct Miami, FL 33155;25.5208109;-80.399402;2;https://www.yelp.com/biz/kara-o-king-dj-and-karaoke-entertainment-miami
The Arketekt by Aficionados;77;13;American (New),Cocktail Bars;4.5;1200 Brickell Bay Dr Miami, FL 33131;25.7617386;-80.1903853;2;https://www.yelp.com/biz/the-arketekt-by-aficionados-miami
El Divino;78;5;Karaoke,Cuban,Italian;5.0;835 NW 37th Ave Miami, FL 33125;25.7804977841898;-80.2552520111203;2;https://www.yelp.com/biz/el-divino-miami
Blue Lamb Cuisine & Lounge;79;2;Lounges,American (New),Arts & Entertainment;5.0;3138 Coral Way Coral Gables, FL 33145;25.7499234;-80.244114;2;https://www.yelp.com/biz/blue-lamb-cuisine-and-lounge-coral-gables
Villain Theater;80;27;Comedy Clubs;5.0;176 NW 24th St Miami, FL 33138;25.8517374282479;-80.1923709735274;1;https://www.yelp.com/biz/villain-theater-miami-2
Stefano’s Lounge;81;1;Lounges;5.0;328 Crandon Blvd Key Biscayne, FL 33149;25.6954787;-80.1636455;2;https://www.yelp.com/biz/stefanos-lounge-key-biscayne
Let’s Make a Daiquiri at Bayside;82;1;Cocktail Bars;4.0;401 Biscayne Blvd Miami, FL 33132;25.7781799432697;-80.1864946223606;0;https://www.yelp.com/biz/lets-make-a-daiquiri-at-bayside-miami
Gravity Brewlab;83;2;Dive Bars,Pubs;5.0;2300 NW 2nd Ave Miami, FL 33127;25.799676;-80.19984;1;https://www.yelp.com/biz/gravity-brewlab-miami
NiDo Caffe;84;367;Italian,Bars,American (Traditional);4.5;7295 Biscayne Blvd Miami, FL 33138;25.8423746;-80.184029;2;https://www.yelp.com/biz/nido-caffe-miami-3
Baby Jane;85;81;Cocktail Bars,American (New);4.0;500 Brickell Ave Miami, FL 33131;25.7683404;-80.1906946;2;https://www.yelp.com/biz/baby-jane-miami-2
The Bar at 1306;86;14;Bars,Venues & Event Spaces;4.0;1306 N Miami Ave Miami, FL 33136;25.787263;-80.194324;2;https://www.yelp.com/biz/the-bar-at-1306-miami-2
Hole In the Wall;87;69;Sports Bars,American (Traditional);3.5;8002 SW 81st Dr Miami, FL 33143;25.694236005858;-80.3236081643362;2;https://www.yelp.com/biz/hole-in-the-wall-miami-4
The Bar;88;230;Bars,American (Traditional);4.0;172 Giralda Ave Coral Gables, FL 33134;25.7511298;-80.2581816;2;https://www.yelp.com/biz/the-bar-coral-gables
Mango’s Tropical Cafe;89;1061;Dance Clubs,Latin American,American (Traditional);3.5;900 Ocean Dr Miami Beach, FL 33139;25.7794108;-80.1311706;2;https://www.yelp.com/biz/mangos-tropical-cafe-miami-beach
Backroom Live;90;2;Jazz & Blues,Music Venues;3.5;100TH Ave Sw 56 St Miami, FL 33165;25.715346;-80.35737;2;https://www.yelp.com/biz/backroom-live-miami-3
Beaker & Gray;91;488;Cocktail Bars,American (New),Tapas/Small Plates;4.5;2637 N Miami Ave Miami, FL 33127;25.802335;-80.194733;2;https://www.yelp.com/biz/beaker-and-gray-miami
Old’s Havana Cuban Bar & Cocina;92;118;Cuban,Bars;4.5;1442 SW 8th St Miami, FL 33135;25.7655942148975;-80.2192383373502;2;https://www.yelp.com/biz/olds-havana-cuban-bar-and-cocina-miami
Conga Bar;93;2;Bars;4.5;401 Biscayne Blvd S Miami, FL 33132;25.7771510368439;-80.1847153421111;2;https://www.yelp.com/biz/conga-bar-miami
The Awa Kava Lounge;94;8;Lounges,Venues & Event Spaces;5.0;3930 NW 2nd Ave Miami, FL 33137;25.8131792068609;-80.1997058913675;2;https://www.yelp.com/biz/the-awa-kava-lounge-miami-3
